dealer_busts,player_busts,player_loses,draw,player_wins
16,46,58,6,36
20,48,60,3,37
9,48,57,7,36
5,52,66,3,31
13,48,58,4,38
10,55,65,2,33
15,51,62,7,31
9,50,57,5,38
18,57,65,5,30
18,38,49,6,45
9,53,68,3,29
13,46,53,9,38
11,45,59,11,30
12,48,57,9,34
13,39,47,11,42
11,40,49,9,42
13,43,52,11,37
15,43,54,7,39
10,40,52,11,37
16,43,49,6,45
15,47,53,6,41
8,44,58,10,32
9,49,56,8,36
10,48,55,9,36
12,48,56,2,42
11,49,58,8,34
14,41,57,7,36
8,47,63,6,31
14,49,54,2,44
15,42,52,11,37
12,44,59,7,34
9,48,61,7,32
9,58,68,1,31
16,47,59,6,35
17,38,52,7,41
13,50,64,3,33
13,58,67,5,28
12,46,58,6,36
12,42,56,8,36
8,45,59,10,31
9,52,68,5,27
14,40,54,10,36
13,52,62,6,32
13,46,59,7,34
9,49,60,4,36
7,50,64,6,30
11,51,62,5,33
16,47,51,6,43
15,51,61,7,32
16,40,50,7,43
13,46,58,7,35
13,50,61,5,34
13,51,58,8,34
7,58,70,7,23
14,40,56,6,38
11,49,57,8,35
12,43,51,12,37
13,52,65,2,33
11,48,59,4,37
12,48,57,7,36
17,43,48,7,45
15,35,47,7,46
12,41,54,13,33
7,50,61,6,33
9,44,62,6,32
17,39,52,2,46
11,50,61,6,33
16,54,61,6,33
7,48,61,8,31
12,41,55,7,38
8,48,60,6,34
15,47,58,7,35
14,45,59,4,37
17,40,48,7,45
15,44,58,6,36
11,51,58,7,35
19,36,46,9,45
5,50,60,5,35
16,47,55,4,41
12,53,64,6,30
12,59,66,4,30
14,50,58,5,37
13,53,58,8,34
9,51,60,3,37
17,51,57,5,38
12,50,57,10,33
16,45,54,10,36
8,40,56,6,38
11,47,63,3,34
12,56,62,4,34
11,51,65,5,30
8,51,65,7,28
13,49,63,1,36
14,43,49,7,44
9,49,54,12,34
9,47,56,8,36
17,50,60,4,36
18,44,55,7,38
8,51,58,8,34
16,48,59,9,32
15,45,55,13,32
20,39,49,4,47
17,45,54,7,39
15,46,59,8,33
16,43,50,6,44
13,48,56,5,39
12,43,53,9,38
14,48,60,7,33
11,55,65,5,30
12,48,55,8,37
8,52,60,10,30
12,47,58,9,33
9,51,59,8,33
20,40,48,9,43
19,40,52,9,39
16,49,58,9,33
11,47,58,5,37
12,51,60,7,33
16,54,60,6,34
14,44,52,7,41
8,42,58,5,37
13,43,52,6,42
11,46,59,6,35
14,52,61,7,32
16,49,57,4,39
6,48,61,4,35
19,47,53,7,40
14,49,55,8,37
10,53,61,5,34
15,51,57,11,32
13,39,52,8,40
15,46,55,8,37
10,47,60,8,32
13,41,55,9,36
12,51,63,4,33
15,52,63,8,29
13,49,55,6,39
17,47,52,8,40
12,47,62,5,33
15,49,58,2,40
8,50,61,2,37
10,47,62,11,27
11,44,53,10,37
7,41,56,10,34
15,49,55,7,38
16,43,56,6,38
21,44,53,6,41
9,51,60,9,31
9,51,59,4,37
10,46,59,8,33
11,44,54,10,36
10,50,56,7,37
18,45,55,6,39
19,46,54,6,40
16,51,62,5,33
14,53,59,5,36
12,43,51,10,39
8,54,67,3,30
12,52,62,3,35
19,44,49,12,39
15,43,54,5,41
17,48,58,10,32
15,39,46,9,45
14,38,52,11,37
11,46,59,4,37
18,48,54,6,40
13,42,57,8,35
15,45,56,4,40
16,44,54,6,40
17,40,49,6,45
11,53,61,7,32
11,47,59,9,32
13,39,52,10,38
16,50,59,5,36
12,45,51,8,41
11,55,64,5,31
11,41,52,12,36
11,57,61,6,33
9,50,58,6,36
6,52,61,8,31
12,51,56,9,35
10,53,60,6,34
13,43,56,7,37
12,48,61,6,33
9,45,55,6,39
10,49,57,5,38
14,55,61,5,34
11,49,55,6,39
11,52,59,7,34
10,55,66,8,26
14,38,52,5,43
11,50,58,3,39
10,42,60,8,32
21,39,52,6,42
14,44,55,10,35
15,41,54,3,43
13,53,64,6,30
14,52,59,2,39
12,58,63,3,34
8,47,58,6,36
10,43,53,11,36
12,46,57,7,36
13,43,52,8,40
12,48,57,6,37
7,44,59,8,33
15,47,53,6,41
8,48,59,9,32
11,48,60,7,33
16,47,56,4,40
15,51,62,6,32
11,41,49,8,43
15,51,56,7,37
18,41,52,6,42
16,47,56,5,39
13,43,53,6,41
16,42,51,9,40
11,54,65,7,28
18,41,51,10,39
9,58,62,11,27
9,56,62,7,31
9,43,49,12,39
12,41,49,10,41
12,51,65,2,33
16,43,56,4,40
8,43,53,7,40
16,59,64,6,30
10,46,57,8,35
13,42,58,7,35
12,46,56,9,35
18,44,55,5,40
14,45,51,11,38
11,47,59,6,35
18,52,57,6,37
7,52,59,6,35
20,46,59,4,37
15,51,57,6,37
13,52,63,6,31
16,37,50,3,47
13,48,56,8,36
9,58,60,3,37
18,43,53,3,44
12,49,60,4,36
12,50,58,6,36
9,50,60,8,32
12,51,60,6,34
18,55,61,7,32
12,52,63,7,30
13,41,57,7,36
10,41,52,6,42
14,48,56,3,41
11,51,61,9,30
17,42,53,8,39
13,42,55,9,36
11,51,58,10,32
10,46,56,9,35
18,49,58,5,37
9,54,65,5,30
6,51,61,10,29
12,45,56,12,32
14,47,56,6,38
9,48,67,6,27
10,49,59,6,35
15,47,54,4,42
9,59,67,10,23
12,57,64,6,30
14,42,52,13,35
12,47,61,6,33
12,50,56,6,38
17,52,61,4,35
17,41,53,10,37
13,60,69,3,28
13,51,55,7,38
19,46,54,9,37
15,58,63,4,33
15,51,60,7,33
15,45,57,4,39
17,47,56,8,36
16,43,51,6,43
16,52,61,5,34
12,49,57,6,37
19,43,52,4,44
12,43,57,8,35
11,48,60,4,36
11,44,52,7,41
10,53,62,6,32
11,45,54,6,40
19,47,52,12,36
13,44,56,6,38
11,49,57,7,36
12,46,52,7,41
12,43,58,6,36
18,51,60,3,37
9,46,59,5,36
13,51,58,7,35
14,38,46,6,48
17,51,59,5,36
14,50,58,6,36
11,48,57,3,40
19,50,61,1,38
10,49,57,9,34
5,60,70,5,25
16,44,50,10,40
16,53,62,4,34
10,53,67,8,25
8,43,53,8,39
17,54,59,1,40
12,41,55,11,34
16,45,57,9,34
12,56,61,7,32
13,50,62,5,33
10,52,61,6,33
13,44,51,8,41
16,59,64,9,27
13,46,59,8,33
10,53,65,5,30
16,51,58,6,36
17,39,53,8,39
6,56,64,8,28
9,58,65,6,29
15,45,57,9,34
