num_decks,dealer_open,dealer_initial,dealer_hit,dealer_num_hits,dealer_final,dealer_busts,player_inital,player_hit,player_num_hits,player_final,player_busts,player_loses,draw,player_wins,strategy,dealer_hand,player_hand
4,9,19,0,0,19,0,17,1,1,22,1,1,0,0,0,"[9, 'J']","[8, 9, 5]"
4,3,10,1,1,21,0,17,1,1,20,0,1,0,0,0,"[3, 7, 'A']","['K', 7, 3]"
4,4,12,0,0,12,0,13,1,3,25,1,1,0,0,0,"[4, 8]","['A', 2, 10, 3, 9]"
4,3,5,1,2,17,0,14,1,1,20,0,0,0,1,0,"[3, 2, 2, 'K']","[10, 4, 6]"
4,9,19,0,0,19,0,16,1,1,26,1,1,0,0,0,"[9, 'K']","[6, 'J', 'K']"
4,10,19,0,0,19,0,20,0,0,20,0,0,0,1,0,"['Q', 9]","['Q', 10]"
4,7,17,0,0,17,0,14,1,1,24,1,1,0,0,0,"[7, 'K']","['J', 4, 10]"
4,3,5,1,2,17,0,16,1,1,21,0,0,0,1,0,"[3, 2, 'Q', 2]","[5, 'A', 5]"
4,7,17,0,0,17,0,18,1,1,20,0,0,0,1,0,"[7, 'K']","['J', 8, 2]"
4,4,13,1,1,23,1,20,0,0,20,0,0,0,1,0,"[4, 9, 10]","['Q', 'J']"
4,5,16,1,2,20,0,13,1,1,21,0,0,0,1,0,"[5, 'A', 'Q', 4]","[6, 7, 8]"
4,1,18,0,0,18,0,20,0,0,20,0,0,0,1,0,"['A', 7]","['Q', 'Q']"
4,4,14,0,0,14,0,15,1,1,24,1,1,0,0,0,"[4, 'J']","[9, 6, 9]"
4,8,18,0,0,18,0,17,1,1,19,0,0,0,1,0,"[8, 10]","[9, 8, 2]"
4,6,16,0,0,16,0,12,1,1,22,1,1,0,0,0,"[6, 10]","[6, 6, 10]"
4,10,12,0,0,12,0,14,1,1,24,1,1,0,0,0,"['J', 2]","['J', 4, 'J']"
4,7,17,0,0,17,0,20,0,0,20,0,0,0,1,0,"[7, 'J']","['A', 9]"
4,5,16,1,3,22,1,15,1,1,21,0,0,0,1,0,"[5, 'A', 6, 'A', 9]","[8, 7, 6]"
4,4,14,1,1,19,0,6,1,2,21,0,0,0,1,0,"[4, 'K', 5]","[3, 3, 'J', 5]"
4,5,12,0,0,12,0,14,1,1,24,1,1,0,0,0,"[5, 7]","[4, 10, 'J']"
4,9,19,0,0,19,0,12,1,2,19,0,0,1,0,0,"[9, 'J']","[2, 'K', 3, 4]"
4,1,21,0,0,21,0,20,0,0,20,0,1,0,0,0,"['A', 'K']","['K', 'K']"
4,6,9,0,0,9,0,10,1,3,28,1,1,0,0,0,"[6, 3]","[4, 6, 2, 6, 10]"
4,2,10,1,1,20,0,11,1,2,20,0,0,1,0,0,"[2, 8, 'K']","[5, 6, 5, 4]"
4,10,15,0,0,15,0,21,0,0,21,0,0,0,1,0,"['K', 5]","[10, 'A']"
4,6,13,0,0,13,0,12,1,1,22,1,1,0,0,0,"[6, 7]","[2, 'J', 'Q']"
4,5,12,1,2,17,0,13,1,1,19,0,0,0,1,0,"[5, 7, 'A', 4]","[3, 'Q', 6]"
4,9,13,0,0,13,0,9,1,3,23,1,1,0,0,0,"[9, 4]","[3, 6, 6, 3, 5]"
4,10,21,0,0,21,0,18,0,0,18,0,1,0,0,0,"['Q', 'A']","['K', 8]"
4,4,14,1,1,24,1,19,0,0,19,0,0,0,1,0,"[4, 'J', 'K']","['K', 9]"
4,8,17,0,0,17,0,20,0,0,20,0,0,0,1,0,"[8, 9]","[10, 'J']"
4,9,14,0,0,14,0,14,1,3,27,1,1,0,0,0,"[9, 5]","['A', 3, 'J', 3, 10]"
4,10,20,0,0,20,0,7,1,3,24,1,1,0,0,0,"[10, 10]","[5, 2, 4, 3, 10]"
4,4,6,1,2,20,0,20,0,0,20,0,0,1,0,0,"[4, 2, 7, 7]","[9, 'A']"
4,10,17,0,0,17,0,7,1,2,20,0,0,0,1,0,"['Q', 7]","[5, 2, 3, 'K']"
4,1,21,0,0,21,0,11,0,0,11,0,1,0,0,0,"['A', 'Q']","[9, 2]"
4,6,15,1,1,17,0,17,1,1,20,0,0,0,1,0,"[6, 9, 2]","['Q', 7, 3]"
4,6,16,0,0,16,0,12,1,2,25,1,1,0,0,0,"[6, 'K']","[10, 2, 6, 7]"
4,7,17,0,0,17,0,13,1,1,21,0,0,0,1,0,"[7, 'K']","['Q', 3, 8]"
4,10,17,0,0,17,0,20,0,0,20,0,0,0,1,0,"['J', 7]","[10, 'J']"
4,6,16,0,0,16,0,10,1,2,27,1,1,0,0,0,"[6, 10]","[8, 2, 7, 'J']"
4,4,8,1,1,19,0,15,1,1,19,0,0,1,0,0,"[4, 4, 'A']","[5, 'Q', 4]"
4,10,18,0,0,18,0,16,1,2,23,1,1,0,0,0,"['Q', 8]","[5, 'A', 9, 8]"
