dealer_busts,player_busts,player_loses,draw,player_wins,strategy
0.22,0.14,0.44,0.1,0.46,1.0
0.08,0.6,0.78,0.0,0.22,0.0
0.26,0.18,0.46,0.06,0.48,1.0
0.16,0.5,0.56,0.06,0.38,0.0
0.26,0.08,0.52,0.08,0.4,1.0
0.18,0.4,0.52,0.06,0.42,0.0
0.22,0.14,0.48,0.12,0.4,1.0
0.26,0.44,0.52,0.06,0.42,0.0
0.26,0.04,0.5,0.08,0.42,1.0
0.1,0.48,0.52,0.1,0.38,0.0
0.26,0.22,0.52,0.06,0.42,1.0
0.2,0.32,0.4,0.1,0.5,0.0
0.26,0.06,0.5,0.04,0.46,1.0
0.14,0.46,0.52,0.08,0.4,0.0
0.26,0.12,0.5,0.1,0.4,1.0
0.16,0.5,0.56,0.04,0.4,0.0
0.32,0.12,0.42,0.1,0.48,1.0
0.2,0.46,0.56,0.06,0.38,0.0
0.28,0.12,0.42,0.08,0.5,1.0
0.16,0.48,0.54,0.06,0.4,0.0
0.26,0.12,0.48,0.04,0.48,1.0
0.12,0.5,0.58,0.04,0.38,0.0
0.3,0.1,0.46,0.06,0.48,1.0
0.08,0.4,0.56,0.12,0.32,0.0
0.26,0.14,0.46,0.04,0.5,1.0
0.18,0.4,0.5,0.08,0.42,0.0
0.2,0.08,0.5,0.1,0.4,1.0
0.12,0.44,0.54,0.04,0.42,0.0
0.16,0.14,0.48,0.06,0.46,1.0
0.12,0.38,0.48,0.08,0.44,0.0
0.08,0.18,0.54,0.06,0.4,1.0
0.08,0.5,0.54,0.06,0.4,0.0
0.2,0.16,0.66,0.08,0.26,1.0
0.12,0.52,0.6,0.0,0.4,0.0
0.26,0.04,0.4,0.22,0.38,1.0
0.12,0.54,0.58,0.06,0.36,0.0
0.14,0.1,0.44,0.1,0.46,1.0
0.24,0.4,0.5,0.06,0.44,0.0
0.2,0.14,0.56,0.06,0.38,1.0
0.22,0.32,0.46,0.1,0.44,0.0
0.32,0.04,0.54,0.08,0.38,1.0
0.2,0.44,0.54,0.1,0.36,0.0
0.16,0.16,0.56,0.14,0.3,1.0
0.16,0.44,0.58,0.02,0.4,0.0
0.26,0.1,0.52,0.06,0.42,1.0
0.1,0.52,0.66,0.06,0.28,0.0
0.24,0.16,0.4,0.14,0.46,1.0
0.12,0.48,0.62,0.06,0.32,0.0
0.24,0.16,0.4,0.14,0.46,1.0
0.18,0.48,0.6,0.02,0.38,0.0
0.26,0.08,0.52,0.1,0.38,1.0
0.08,0.44,0.56,0.1,0.34,0.0
0.08,0.08,0.6,0.06,0.34,1.0
0.16,0.48,0.6,0.12,0.28,0.0
0.26,0.08,0.42,0.12,0.46,1.0
0.1,0.44,0.52,0.14,0.34,0.0
0.28,0.02,0.34,0.14,0.52,1.0
0.14,0.4,0.52,0.06,0.42,0.0
0.24,0.12,0.42,0.1,0.48,1.0
0.1,0.4,0.54,0.04,0.42,0.0
0.32,0.14,0.42,0.06,0.52,1.0
