dealer_busts,player_busts,player_loses,draw,player_wins
22,10,43,11,46
18,11,51,9,40
14,11,58,9,33
20,9,58,7,35
20,10,50,8,42
26,19,50,11,39
19,12,52,8,40
25,15,54,6,40
19,18,53,11,36
27,7,53,6,41
17,14,54,7,39
16,11,64,3,33
19,13,56,9,35
28,19,53,5,42
21,12,57,2,41
17,9,53,9,38
22,14,56,8,36
25,8,52,5,43
27,18,54,5,41
22,10,58,5,37
25,13,55,4,41
21,15,54,8,38
31,12,50,5,45
21,11,54,6,40
35,8,45,4,51
18,11,52,14,34
23,12,55,8,37
25,14,53,6,41
24,17,59,8,33
26,13,56,9,35
25,12,52,9,39
27,12,45,7,48
19,10,55,5,40
16,12,56,11,33
18,13,53,9,38
29,9,44,9,47
27,8,52,4,44
26,15,57,3,40
25,13,59,4,37
29,16,47,9,44
20,15,55,8,37
24,14,57,5,38
21,9,51,7,42
22,13,51,10,39
26,9,51,7,42
20,16,60,7,33
25,11,49,7,44
29,10,44,10,46
32,7,47,7,46
32,9,41,11,48
26,12,51,5,44
23,9,46,7,47
22,11,55,5,40
24,14,50,10,40
22,8,45,16,39
15,16,67,4,29
17,13,57,10,33
28,9,49,6,45
25,15,56,2,42
25,16,51,6,43
16,6,58,9,33
12,14,58,11,31
12,14,65,6,29
20,11,57,6,37
22,12,59,7,34
22,11,42,8,50
27,8,47,9,44
19,8,48,11,41
22,11,45,3,52
17,13,51,10,39
24,12,54,9,37
18,16,60,7,33
24,15,48,8,44
22,13,49,9,42
22,13,53,8,39
19,14,48,6,46
18,16,57,3,40
25,17,56,9,35
20,14,54,10,36
28,3,39,9,52
25,14,46,10,44
21,13,60,11,29
23,12,49,8,43
24,12,53,8,39
24,15,52,7,41
23,3,51,8,41
21,11,44,12,44
25,7,47,10,43
20,18,58,5,37
21,16,53,8,39
18,15,52,9,39
30,15,52,6,42
22,14,51,8,41
27,15,53,6,41
23,10,53,5,42
22,11,50,10,40
16,16,58,8,34
23,9,58,8,34
24,12,51,6,43
16,12,59,7,34
