d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks
"8,4","8,4","8,5","8,5,5,5",0,0,4
"4,3","4,3,J","3,5","3,5,A",0,0,4
"J,4","J,4,4","7,Q","7,Q",1,0,4
"8,4","8,4,8","10,5","10,5",0,0,4
"5,J","5,J,6","Q,Q","Q,Q",1,0,4
"3,8","3,8","7,2","7,2,4,J",0,0,4
"5,J","5,J","10,5","10,5,9",1,0,4
"8,J","8,J","2,10","2,10",0,0,4
"3,3","3,3","4,9","4,9,Q",0,0,4
"J,7","J,7","K,10","K,10",1,0,4
"8,3","8,3,K","3,7","3,7,9",0,0,4
"4,9","4,9,7","2,4","2,4,4,4",0,0,4
"A,3","A,3,6","K,J","K,J",1,0,4
"10,10","10,10","5,A","5,A",0,0,4
"10,9","10,9","Q,8","Q,8",1,0,4
"5,A","5,A,10,7","A,5","A,5,2,6",0,0,4
"Q,9","Q,9","8,7","8,7",1,0,4
"5,K","5,K,2","K,Q","K,Q",0,0,4
"6,3","6,3","9,3","9,3,A,9",1,0,4
"5,Q","5,Q,10","J,5","J,5,5",1,0,4
"K,A","K,A","2,4","2,4,7",1,0,4
"2,3","2,3","7,A","7,A,Q,10",1,0,4
"Q,J","Q,J","10,6","10,6,8",0,1,4
"Q,J","Q,J","10,3","10,3",0,1,4
"A,10","A,10","4,2","4,2,5,J",1,0,4
"A,A","A,A,6","5,3","5,3,5",0,0,4
"K,J","K,J","5,8","5,8",0,0,4
"2,10","2,10,9","4,2","4,2,A",0,0,4
"J,8","J,8","7,9","7,9",1,0,4
"5,Q","5,Q,J","9,K","9,K",1,0,4
"7,9","7,9,A","5,10","5,10",0,0,4
"3,Q","3,Q","A,4","A,4,9,A,J",1,0,4
"K,J","K,J","6,5","6,5,10",0,0,4
"6,5","6,5","A,J","A,J",1,0,4
"9,10","9,10","3,8","3,8,K",1,0,4
"5,J","5,J,A,2","2,A","2,A,8",1,0,4
"A,9","A,9","7,2","7,2,2,5,7",0,0,4
"8,4","8,4","6,8","6,8,K",0,0,4
"K,10","K,10","10,A","10,A",0,1,4
"K,10","K,10","10,Q","10,Q",0,1,4
"7,6","7,6,9","Q,8","Q,8",1,0,4
"3,9","3,9,3,3","A,5","A,5",0,0,4
"9,8","9,8","Q,6","Q,6",1,0,4
"2,4","2,4","A,J","A,J",1,0,4
"2,5","2,5","8,8","8,8,9",0,0,4
"10,8","10,8","5,5","5,5,3",1,0,4
"K,5","K,5,Q","10,10","10,10",1,0,4
"Q,10","Q,10","A,5","A,5",1,0,4
"7,9","7,9,9","K,J","K,J",1,0,4
"A,6","A,6","J,6","J,6,9",1,0,4
"7,4","7,4","5,9","5,9,9",0,0,4
"K,5","K,5,5","A,4","A,4",1,0,4
"A,8","A,8","6,Q","6,Q",0,0,4
"5,9","5,9,4","5,K","5,K",0,0,4
"8,6","8,6,Q","10,5","10,5,5",0,0,4
"9,7","9,7","K,7","K,7,J",0,0,4
"9,9","9,9","6,5","6,5,K",1,0,4
"A,4","A,4,10,7","3,K","3,K,A,6",1,0,4
"J,3","J,3,6","10,Q","10,Q",0,0,4
"8,10","8,10","9,K","9,K",1,0,4
"7,K","7,K","K,8","K,8",1,0,4
"Q,10","Q,10","J,A","J,A",0,0,4
"J,4","J,4,4","6,5","6,5,A",0,0,4
"3,7","3,7,2,3,Q","3,10","3,10",0,0,4
"3,Q","3,Q","K,7","K,7,10",0,0,4
"6,5","6,5","7,K","7,K,A,K",1,0,4
"2,9","2,9,2,2,6","6,3","6,3,7,2,3",1,0,4
"8,5","8,5,10","3,9","3,9",1,0,4
"2,Q","2,Q","J,A","J,A",1,0,4
"10,6","10,6,6","8,10","8,10",0,0,4
"5,5","5,5,5,Q","K,2","K,2,7",1,0,4
"K,8","K,8","5,Q","5,Q,Q",0,0,4
"5,3","5,3,9","6,J","6,J,4",1,0,4
"8,9","8,9","4,Q","4,Q",0,0,4
"7,10","7,10","4,4","4,4,5",1,0,4
"2,2","2,2,3,7,8","K,9","K,9",0,0,4
"5,2","5,2,9,A","J,9","J,9",0,0,4
"6,10","6,10","K,3","K,3,2,9",1,0,4
"Q,8","Q,8","9,J","9,J",1,0,4
"4,2","4,2,J,2","2,A","2,A",0,0,4
"6,4","6,4,9","2,J","2,J,9",1,0,4
"5,2","5,2,K","Q,10","Q,10",0,0,4
"2,Q","2,Q","3,10","3,10,K",0,0,4
"2,10","2,10,8","A,3","A,3,8",0,0,4
"J,2","J,2,7","6,5","6,5,8",1,0,4
"8,K","8,K","7,6","7,6,K",0,0,4
"2,J","2,J,A,J","8,K","8,K,4",1,1,4
"2,J","2,J,A,J","8,A","8,A",1,1,4
"K,4","K,4,6","4,Q","4,Q",0,0,4
