,d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks,soft_17,d_open,d_initial,d_final,d_hit,d_bust,p_initial,p_final,p_hit,p_bust,p_win
18924,"7,J","7,J","9,A","9,A",1,0,4,0,7,17,17,0,0,20,20,0,0,1
18925,"J,K","J,K","3,9","3,9",1,0,4,0,10,20,20,0,0,12,12,0,0,0
18926,"6,6","6,6","10,8","10,8,Q",1,0,4,0,6,12,12,0,0,18,28,1,1,0
18927,"Q,4","Q,4,Q","A,6","A,6",1,0,4,1,10,14,24,1,1,17,17,0,0,1
18928,"3,8","3,8","K,8","K,8,9",1,0,4,0,3,11,11,0,0,18,27,1,1,0
18929,"10,6","10,6,3","5,5","5,5,7",1,0,4,0,10,16,19,1,0,10,17,1,0,0
18930,"6,J","6,J,3","9,7","9,7",0,0,4,0,6,16,19,1,0,16,16,0,0,0
18931,"K,2","K,2","5,7","5,7,5,9",0,0,4,0,10,12,12,0,0,12,26,1,1,0
18932,"2,3","2,3,6,8","6,Q","6,Q",0,0,4,1,2,5,19,1,0,16,16,0,0,0
18933,"7,J","7,J","8,4","8,4,A,10",0,0,4,1,7,17,17,0,0,12,23,1,1,0
18934,"10,6","10,6,A","5,8","5,8",0,0,4,1,10,16,17,1,0,13,13,0,0,0
18935,"Q,J","Q,J","J,J","J,J",1,0,4,0,10,20,20,0,0,20,20,0,0,0
18936,"Q,K","Q,K","7,3","7,3,7",1,0,4,1,10,20,20,0,0,10,17,1,0,0
18937,"10,10","10,10","3,7","3,7,7,3",0,0,4,0,10,20,20,0,0,10,20,1,0,0
18938,"5,2","5,2","A,10","A,10",1,0,4,1,5,7,7,0,0,21,21,0,0,1
18939,"7,K","7,K","10,3","10,3",1,0,4,1,7,17,17,0,0,13,13,0,0,0
18940,"5,9","5,9,8","5,9","5,9",0,0,4,1,5,14,22,1,1,14,14,0,0,1
18941,"A,6","A,6","4,10","4,10,8",1,0,4,0,1,17,17,0,0,14,22,1,1,0
18942,"10,7","10,7","10,A","10,A",0,0,4,0,10,17,17,0,0,21,21,0,0,1
18943,"A,7","A,7","6,8","6,8,A",0,0,4,0,1,18,18,0,0,14,15,1,0,0
18944,"10,7","10,7","K,8","K,8",1,0,4,1,10,17,17,0,0,18,18,0,0,1
18945,"5,10","5,10,Q","10,8","10,8,A",1,0,4,0,5,15,25,1,1,18,19,1,0,1
18946,"5,4","5,4,J","J,J","J,J",1,0,4,1,5,9,19,1,0,20,20,0,0,1
18947,"K,K","K,K","J,9","J,9",0,0,4,0,10,20,20,0,0,19,19,0,0,0
18948,"J,7","J,7","6,6","6,6",1,0,4,1,10,17,17,0,0,12,12,0,0,0
18949,"2,3","2,3,7,2,4","Q,5","Q,5,2,4",0,0,4,0,2,5,18,1,0,15,21,1,0,1
18950,"6,5","6,5,2,2,A,10","J,Q","J,Q",1,0,4,0,6,11,26,1,1,20,20,0,0,1
18951,"8,8","8,8,10","J,K","J,K",1,0,4,1,8,16,26,1,1,20,20,0,0,1
18952,"K,8","K,8","9,4","9,4,J",0,0,4,1,10,18,18,0,0,13,23,1,1,0
18953,"10,5","10,5,4","3,8","3,8,J",1,0,4,0,10,15,19,1,0,11,21,1,0,1
18954,"9,5","9,5,6","2,4","2,4,2,5",1,0,4,1,9,14,20,1,0,6,13,1,0,0
18955,"8,A","8,A","9,5","9,5,7",0,0,4,1,8,19,19,0,0,14,21,1,0,1
18956,"5,3","5,3,8,A","3,6","3,6,4,2",0,0,4,1,5,8,17,1,0,9,15,1,0,0
18957,"9,10","9,10","2,K","2,K,A,10",0,0,4,0,9,19,19,0,0,12,23,1,1,0
18958,"A,K","A,K","5,A","5,A",0,0,4,0,1,21,21,0,0,16,16,0,0,0
18959,"A,8","A,8","6,4","6,4,7,K",1,0,4,0,1,19,19,0,0,10,27,1,1,0
18960,"9,5","9,5,K","9,J","9,J",1,0,4,0,9,14,24,1,1,19,19,0,0,1
18961,"A,K","A,K","J,4","J,4",1,0,4,1,1,21,21,0,0,14,14,0,0,0
18962,"6,6","6,6","4,4","4,4,4,10",1,0,4,0,6,12,12,0,0,8,22,1,1,0
18963,"Q,2","Q,2,3,Q","6,5","6,5,7",1,0,4,0,10,12,25,1,1,11,18,1,0,1
18964,"8,5","8,5,4","3,4","3,4,3,10",1,0,4,0,8,13,17,1,0,7,20,1,0,1
18965,"7,6","7,6,A,A,K","8,2","8,2,8",0,0,4,1,7,13,25,1,1,10,18,1,0,1
18966,"J,2","J,2,6","3,4","3,4,7",0,0,4,1,10,12,18,1,0,7,14,1,0,0
18967,"K,A","K,A","K,3","K,3",0,0,4,0,10,21,21,0,0,13,13,0,0,0
18968,"4,10","4,10","5,10","5,10,2,K",1,0,4,0,4,14,14,0,0,15,27,1,1,0
18969,"9,8","9,8","4,2","4,2,9",1,0,4,0,9,17,17,0,0,6,15,1,0,0
18970,"J,10","J,10","4,8","4,8",1,0,4,1,10,20,20,0,0,12,12,0,0,0
18971,"2,2","2,2,5,3,8","J,7","J,7",0,0,4,1,2,4,20,1,0,17,17,0,0,0
18972,"Q,4","Q,4,10","10,8","10,8",0,0,4,1,10,14,24,1,1,18,18,0,0,1
18973,"A,5","A,5,8,K","4,3","4,3,Q,4",0,0,4,1,1,16,24,1,1,7,21,1,0,1
18974,"10,K","10,K","7,3","7,3,9",0,0,4,0,10,20,20,0,0,10,19,1,0,0
18975,"6,4","6,4","K,4","K,4,K",1,0,4,1,6,10,10,0,0,14,24,1,1,0
18976,"8,Q","8,Q","K,A","K,A",1,0,4,0,8,18,18,0,0,21,21,0,0,1
18977,"3,2","3,2","K,2","K,2,K",0,0,4,0,3,5,5,0,0,12,22,1,1,0
18978,"8,5","8,5,9","K,5","K,5",1,0,4,0,8,13,22,1,1,15,15,0,0,1
18979,"3,8","3,8,A,7","4,6","4,6,5,2,2",1,0,4,1,3,11,19,1,0,10,19,1,0,0
18980,"7,4","7,4,J","2,10","2,10",1,0,4,1,7,11,21,1,0,12,12,0,0,0
18981,"7,7","7,7","6,Q","6,Q,6",0,0,4,0,7,14,14,0,0,16,22,1,1,0
18982,"7,8","7,8,2","9,5","9,5",1,0,4,0,7,15,17,1,0,14,14,0,0,0
18983,"J,9","J,9","10,2","10,2,5",0,0,4,0,10,19,19,0,0,12,17,1,0,0
18984,"Q,8","Q,8","4,4","4,4,J",1,0,4,0,10,18,18,0,0,8,18,1,0,0
18985,"A,A","A,A,6","6,8","6,8",0,0,4,0,1,12,18,1,0,14,14,0,0,0
18986,"K,3","K,3,J","A,4","A,4",1,0,4,1,10,13,23,1,1,15,15,0,0,1
18987,"2,2","2,2,6,K","9,A","9,A",1,0,4,1,2,4,20,1,0,20,20,0,0,0
18988,"8,J","8,J","5,10","5,10",1,0,4,1,8,18,18,0,0,15,15,0,0,0
18989,"Q,3","Q,3,A,A,7","5,5","5,5,10",1,0,4,1,10,13,22,1,1,10,20,1,0,1
18990,"9,7","9,7,6","4,5","4,5,Q",1,0,4,0,9,16,22,1,1,9,19,1,0,1
18991,"A,5","A,5","4,2","4,2,3,6,9",1,0,4,0,1,16,16,0,0,6,24,1,1,0
18992,"9,10","9,10","10,J","10,J",0,0,4,0,9,19,19,0,0,20,20,0,0,1
18993,"2,5","2,5,8,8","A,5","A,5,2,7,4",0,0,4,1,2,7,23,1,1,16,19,1,0,1
18994,"5,2","5,2,9,8","7,10","7,10,2",0,0,4,1,5,7,24,1,1,17,19,1,0,1
18995,"4,6","4,6,2,K","8,2","8,2,5",0,0,4,0,4,10,22,1,1,10,15,1,0,1
18996,"5,5","5,5,2,2,9","2,3","2,3,4,6",0,0,4,1,5,10,23,1,1,5,15,1,0,1
18997,"J,A","J,A","5,6","5,6",1,0,4,0,10,21,21,0,0,11,11,0,0,0
18998,"Q,8","Q,8","5,J","5,J",1,0,4,1,10,18,18,0,0,15,15,0,0,0
18999,"J,A","J,A","J,3","J,3",1,0,4,0,10,21,21,0,0,13,13,0,0,0
19000,"9,6","9,6,7","J,5","J,5",0,0,4,0,9,15,22,1,1,15,15,0,0,1
19001,"3,5","3,5,A","8,5","8,5,6",0,0,4,0,3,8,19,1,0,13,19,1,0,0
19002,"5,7","5,7,K","7,8","7,8,5",1,0,4,1,5,12,22,1,1,15,20,1,0,1
19003,"A,4","A,4,9,6","J,J","J,J",0,0,4,0,1,15,20,1,0,20,20,0,0,0
19004,"Q,3","Q,3","A,A","A,A,Q",0,0,4,1,10,13,13,0,0,12,22,1,1,0
19005,"K,3","K,3,J","A,4","A,4",1,0,4,0,10,13,23,1,1,15,15,0,0,1
19006,"6,7","6,7,6","K,8","K,8",0,0,4,0,6,13,19,1,0,18,18,0,0,0
19007,"3,3","3,3","8,J","8,J,10",1,1,4,1,3,6,6,0,0,18,28,1,1,0
19008,"3,3","3,3,6,10","8,10","8,10,2",1,1,4,1,3,6,22,1,1,18,20,1,0,1
19009,"8,3","8,3,6","7,A","7,A,A",0,0,4,1,8,11,17,1,0,18,19,1,0,1
19010,"6,8","6,8,4","9,K","9,K",0,0,4,0,6,14,18,1,0,19,19,0,0,1
19011,"6,Q","6,Q,2","8,5","8,5,4,4",1,0,4,0,6,16,18,1,0,13,21,1,0,1
19012,"A,K","A,K","8,A","8,A",0,0,4,1,1,21,21,0,0,19,19,0,0,0
19013,"6,2","6,2,8,K","J,6","J,6",0,0,4,1,6,8,26,1,1,16,16,0,0,1
19014,"A,K","A,K","2,9","2,9",1,0,4,1,1,21,21,0,0,11,11,0,0,0
19015,"7,7","7,7,J","K,5","K,5",1,0,4,1,7,14,24,1,1,15,15,0,0,1
19016,"3,Q","3,Q,3,5","7,4","7,4,9",0,0,4,1,3,13,21,1,0,11,20,1,0,0
19017,"2,9","2,9","5,10","5,10,10",1,0,4,1,2,11,11,0,0,15,25,1,1,0
19018,"2,10","2,10,5","9,3","9,3,A,2,A,5",1,0,4,1,2,12,17,1,0,12,21,1,0,1
19019,"4,A","4,A","6,A","6,A,10,Q",0,0,4,0,4,15,15,0,0,17,27,1,1,0
19020,"9,A","9,A","8,6","8,6",1,0,4,0,9,20,20,0,0,14,14,0,0,0
19021,"5,4","5,4","A,J","A,J",1,0,4,1,5,9,9,0,0,21,21,0,0,1
19022,"7,2","7,2,9","6,J","6,J",1,0,4,1,7,9,18,1,0,16,16,0,0,0
19023,"10,J","10,J","5,A","5,A",0,0,4,0,10,20,20,0,0,16,16,0,0,0
19024,"9,9","9,9","K,9","K,9",1,0,4,1,9,18,18,0,0,19,19,0,0,1
19025,"3,7","3,7,3,Q","J,9","J,9",1,0,4,0,3,10,23,1,1,19,19,0,0,1
19026,"9,K","9,K","Q,10","Q,10",1,0,4,1,9,19,19,0,0,20,20,0,0,1
19027,"10,4","10,4,K","K,8","K,8",1,0,4,1,10,14,24,1,1,18,18,0,0,1
19028,"10,7","10,7","K,K","K,K",0,1,4,1,10,17,17,0,0,20,20,0,0,1
19029,"10,7","10,7","K,J","K,J",0,1,4,1,10,17,17,0,0,20,20,0,0,1
19030,"9,J","9,J","9,2","9,2,9",1,0,4,1,9,19,19,0,0,11,20,1,0,1
19031,"7,4","7,4,9","5,9","5,9",1,0,4,1,7,11,20,1,0,14,14,0,0,0
19032,"6,10","6,10","K,8","K,8,4",0,0,4,0,6,16,16,0,0,18,22,1,1,0
19033,"7,9","7,9,9","3,10","3,10",1,0,4,1,7,16,25,1,1,13,13,0,0,1
19034,"4,7","4,7","8,Q","8,Q,7",1,1,4,1,4,11,11,0,0,18,25,1,1,0
19035,"4,7","4,7","8,2","8,2,2,3,Q",1,1,4,1,4,11,11,0,0,10,25,1,1,0
19036,"J,Q","J,Q","4,8","4,8",1,0,4,1,10,20,20,0,0,12,12,0,0,0
19037,"K,5","K,5,8","A,9","A,9",1,0,4,1,10,15,23,1,1,20,20,0,0,1
19038,"9,2","9,2","8,5","8,5,9",0,0,4,1,9,11,11,0,0,13,22,1,1,0
19039,"A,A","A,A","8,6","8,6,3,A,10",1,0,4,0,1,12,12,0,0,14,28,1,1,0
19040,"6,J","6,J","6,7","6,7,4,7",1,0,4,1,6,16,16,0,0,13,24,1,1,0
19041,"6,Q","6,Q,10","K,5","K,5,A,4",0,0,4,0,6,16,26,1,1,15,20,1,0,1
19042,"J,6","J,6,K","5,Q","5,Q,A,5",0,0,4,0,10,16,26,1,1,15,21,1,0,1
19043,"J,K","J,K","4,9","4,9,K",0,0,4,1,10,20,20,0,0,13,23,1,1,0
19044,"A,2","A,2,3,7,A,Q","2,10","2,10,7",1,0,4,1,1,13,24,1,1,12,19,1,0,1
19045,"4,6","4,6,4,4","3,6","3,6,Q",0,0,4,1,4,10,18,1,0,9,19,1,0,1
19046,"3,9","3,9,6","7,J","7,J",0,0,4,0,3,12,18,1,0,17,17,0,0,0
19047,"Q,5","Q,5,7","6,Q","6,Q",0,0,4,1,10,15,22,1,1,16,16,0,0,1
19048,"8,3","8,3,9","3,6","3,6,A",0,0,4,1,8,11,20,1,0,9,20,1,0,0
19049,"J,Q","J,Q","2,9","2,9,4",0,0,4,0,10,20,20,0,0,11,15,1,0,0
19050,"A,2","A,2,5","K,7","K,7,3",1,0,4,0,1,13,18,1,0,17,20,1,0,1
19051,"8,10","8,10","10,6","10,6",0,0,4,1,8,18,18,0,0,16,16,0,0,0
19052,"2,8","2,8,6,5","J,Q","J,Q",1,0,4,0,2,10,21,1,0,20,20,0,0,0
19053,"5,5","5,5,9","6,8","6,8",0,0,4,0,5,10,19,1,0,14,14,0,0,0
19054,"3,9","3,9","2,10","2,10,10",1,0,4,0,3,12,12,0,0,12,22,1,1,0
19055,"3,8","3,8","6,3","6,3,7,6",1,0,4,0,3,11,11,0,0,9,22,1,1,0
19056,"Q,7","Q,7","4,6","4,6,7",1,0,4,0,10,17,17,0,0,10,17,1,0,0
19057,"7,6","7,6,8","6,5","6,5,A",1,0,4,1,7,13,21,1,0,11,12,1,0,0
19058,"A,2","A,2","5,3","5,3,J,5",1,0,4,1,1,13,13,0,0,8,23,1,1,0
19059,"8,7","8,7","A,K","A,K",0,0,4,1,8,15,15,0,0,21,21,0,0,1
19060,"J,5","J,5,4","K,10","K,10",1,0,4,0,10,15,19,1,0,20,20,0,0,1
19061,"7,10","7,10","J,4","J,4",1,0,4,0,7,17,17,0,0,14,14,0,0,0
19062,"3,3","3,3,K,10","A,4","A,4,3,A",1,0,4,1,3,6,26,1,1,15,19,1,0,1
19063,"Q,J","Q,J","J,8","J,8,3",0,0,4,0,10,20,20,0,0,18,21,1,0,1
19064,"2,5","2,5,3,5,2","7,4","7,4,K",1,0,4,0,2,7,17,1,0,11,21,1,0,1
19065,"2,5","2,5","3,K","3,K,K",0,0,4,0,2,7,7,0,0,13,23,1,1,0
19066,"3,J","3,J,Q","2,A","2,A,9,7",1,0,4,1,3,13,23,1,1,13,19,1,0,1
19067,"8,6","8,6,7","10,9","10,9",0,0,4,1,8,14,21,1,0,19,19,0,0,0
19068,"A,4","A,4,9,3","Q,7","Q,7,2",1,0,4,1,1,15,17,1,0,17,19,1,0,1
19069,"6,4","6,4,2,10","J,10","J,10",0,0,4,1,6,10,22,1,1,20,20,0,0,1
19070,"10,10","10,10","Q,7","Q,7",1,0,4,0,10,20,20,0,0,17,17,0,0,0
19071,"2,A","2,A,5","3,2","3,2,8,4,4",1,0,4,1,2,13,18,1,0,5,21,1,0,1
19072,"3,5","3,5,4,4,A","5,8","5,8,4",0,0,4,0,3,8,17,1,0,13,17,1,0,0
19073,"9,9","9,9","3,10","3,10",1,0,4,0,9,18,18,0,0,13,13,0,0,0
19074,"5,9","5,9","9,5","9,5,J",0,0,4,0,5,14,14,0,0,14,24,1,1,0
19075,"9,3","9,3,6","Q,10","Q,10",0,0,4,1,9,12,18,1,0,20,20,0,0,1
19076,"2,8","2,8,6,Q","6,K","6,K,3",1,0,4,1,2,10,26,1,1,16,19,1,0,1
19077,"K,A","K,A","J,7","J,7",1,0,4,0,10,21,21,0,0,17,17,0,0,0
19078,"8,6","8,6,4","9,5","9,5",1,0,4,1,8,14,18,1,0,14,14,0,0,0
19079,"6,6","6,6,A,K","J,10","J,10",0,0,4,0,6,12,23,1,1,20,20,0,0,1
19080,"4,2","4,2,6,Q","7,4","7,4,J",0,0,4,1,4,6,22,1,1,11,21,1,0,1
19081,"3,6","3,6","A,10","A,10",1,0,4,1,3,9,9,0,0,21,21,0,0,1
19082,"2,8","2,8,Q","8,3","8,3,7",0,0,4,1,2,10,20,1,0,11,18,1,0,0
19083,"A,9","A,9","9,8","9,8,Q",0,0,4,0,1,20,20,0,0,17,27,1,1,0
19084,"7,A","7,A","3,A","3,A",1,0,4,0,7,18,18,0,0,14,14,0,0,0
19085,"10,3","10,3,10","3,K","3,K",0,0,4,1,10,13,23,1,1,13,13,0,0,1
19086,"5,Q","5,Q,8","4,2","4,2,K",0,0,4,1,5,15,23,1,1,6,16,1,0,1
19087,"10,A","10,A","5,J","5,J",0,0,4,1,10,21,21,0,0,15,15,0,0,0
19088,"J,K","J,K","3,8","3,8,Q",0,0,4,0,10,20,20,0,0,11,21,1,0,1
19089,"3,A","3,A,Q,7","2,9","2,9,5,2",0,0,4,1,3,14,21,1,0,11,18,1,0,0
19090,"J,7","J,7","K,5","K,5",1,0,4,1,10,17,17,0,0,15,15,0,0,0
19091,"3,A","3,A","J,A","J,A",1,0,4,0,3,14,14,0,0,21,21,0,0,1
19092,"9,5","9,5","4,K","4,K,9",0,0,4,0,9,14,14,0,0,14,23,1,1,0
19093,"3,A","3,A,8,K","8,A","8,A",1,0,4,1,3,14,22,1,1,19,19,0,0,1
19094,"4,5","4,5","8,2","8,2,6,9",1,0,4,0,4,9,9,0,0,10,25,1,1,0
19095,"5,5","5,5,10","4,A","4,A,4",1,0,4,0,5,10,20,1,0,15,19,1,0,0
19096,"8,J","8,J","J,2","J,2",1,0,4,1,8,18,18,0,0,12,12,0,0,0
19097,"6,4","6,4,A","10,5","10,5",0,0,4,1,6,10,21,1,0,15,15,0,0,0
19098,"5,6","5,6","8,K","8,K,9",1,0,4,1,5,11,11,0,0,18,27,1,1,0
19099,"3,K","3,K","2,2","2,2,A,9,K",1,0,4,0,3,13,13,0,0,4,24,1,1,0
19100,"2,J","2,J","6,K","6,K,J",0,0,4,0,2,12,12,0,0,16,26,1,1,0
19101,"6,Q","6,Q,Q","6,9","6,9",0,0,4,1,6,16,26,1,1,15,15,0,0,1
19102,"9,4","9,4,K","3,5","3,5,4",0,0,4,1,9,13,23,1,1,8,12,1,0,1
19103,"J,4","J,4,K","8,4","8,4",1,0,4,1,10,14,24,1,1,12,12,0,0,1
19104,"7,4","7,4,8","4,Q","4,Q",0,0,4,0,7,11,19,1,0,14,14,0,0,0
19105,"10,J","10,J","5,7","5,7,A,4,J",0,0,4,1,10,20,20,0,0,12,27,1,1,0
19106,"Q,7","Q,7","9,8","9,8",1,0,4,1,10,17,17,0,0,17,17,0,0,0
19107,"6,K","6,K","4,10","4,10,A,A,2,4",1,0,4,0,6,16,16,0,0,14,22,1,1,0
19108,"3,K","3,K","8,7","8,7,J",1,0,4,1,3,13,13,0,0,15,25,1,1,0
19109,"8,J","8,J","Q,10","Q,10",1,0,4,1,8,18,18,0,0,20,20,0,0,1
19110,"10,A","10,A","K,2","K,2",1,0,4,0,10,21,21,0,0,12,12,0,0,0
19111,"2,7","2,7,8","K,5","K,5",0,0,4,1,2,9,17,1,0,15,15,0,0,0
19112,"K,5","K,5","3,8","3,8,4,9",0,0,4,1,10,15,15,0,0,11,24,1,1,0
19113,"2,10","2,10,J","K,J","K,J",1,0,4,1,2,12,22,1,1,20,20,0,0,1
19114,"9,A","9,A","5,4","5,4,4",0,0,4,1,9,20,20,0,0,9,13,1,0,0
19115,"6,5","6,5,A,3,10","4,Q","4,Q",0,0,4,1,6,11,25,1,1,14,14,0,0,1
19116,"A,2","A,2","6,3","6,3,8,K",1,0,4,1,1,13,13,0,0,9,27,1,1,0
19117,"4,5","4,5,10","K,7","K,7",0,1,4,0,4,9,19,1,0,17,17,0,0,0
19118,"4,5","4,5,10","K,K","K,K",0,1,4,0,4,9,19,1,0,20,20,0,0,1
19119,"5,K","5,K,7","J,9","J,9",1,0,4,1,5,15,22,1,1,19,19,0,0,1
19120,"A,A","A,A","6,Q","6,Q,2,9",0,0,4,1,1,12,12,0,0,16,27,1,1,0
19121,"8,Q","8,Q","6,6","6,6",1,0,4,1,8,18,18,0,0,12,12,0,0,0
19122,"2,7","2,7","6,A","6,A,5,A,J",1,0,4,1,2,9,9,0,0,17,23,1,1,0
19123,"J,6","J,6","10,7","10,7,K",0,0,4,0,10,16,16,0,0,17,27,1,1,0
19124,"J,J","J,J","6,3","6,3,2,4",1,0,4,0,10,20,20,0,0,9,15,1,0,0
19125,"Q,4","Q,4,2,5","4,7","4,7,J",0,0,4,1,10,14,21,1,0,11,21,1,0,0
19126,"J,6","J,6","2,A","2,A,K,10",0,0,4,1,10,16,16,0,0,13,23,1,1,0
19127,"7,J","7,J","10,A","10,A",1,0,4,0,7,17,17,0,0,21,21,0,0,1
19128,"K,J","K,J","4,K","4,K",1,0,4,1,10,20,20,0,0,14,14,0,0,0
19129,"6,Q","6,Q","7,8","7,8,A,A,Q",1,0,4,1,6,16,16,0,0,15,27,1,1,0
19130,"2,7","2,7","2,8","2,8,3,4,J",1,0,4,1,2,9,9,0,0,10,27,1,1,0
19131,"8,9","8,9","Q,A","Q,A",0,0,4,1,8,17,17,0,0,21,21,0,0,1
19132,"6,6","6,6,8","5,Q","5,Q,5",1,0,4,0,6,12,20,1,0,15,20,1,0,0
19133,"7,4","7,4,4,10","9,9","9,9",0,0,4,0,7,11,25,1,1,18,18,0,0,1
19134,"3,4","3,4,Q","6,7","6,7",0,0,4,0,3,7,17,1,0,13,13,0,0,0
19135,"Q,K","Q,K","Q,3","Q,3,K",0,0,4,0,10,20,20,0,0,13,23,1,1,0
19136,"9,2","9,2,Q","6,7","6,7",1,0,4,0,9,11,21,1,0,13,13,0,0,0
19137,"Q,5","Q,5","5,3","5,3,6,Q",0,0,4,1,10,15,15,0,0,8,24,1,1,0
19138,"Q,4","Q,4,6","J,8","J,8",1,0,4,1,10,14,20,1,0,18,18,0,0,0
19139,"5,6","5,6,J","5,A","5,A",0,0,4,1,5,11,21,1,0,16,16,0,0,0
19140,"2,6","2,6","A,5","A,5,9,K",1,0,4,1,2,8,8,0,0,16,25,1,1,0
19141,"2,2","2,2,9,7","Q,10","Q,10",0,1,4,1,2,4,20,1,0,20,20,0,0,0
19142,"2,2","2,2","Q,3","Q,3,10",0,1,4,1,2,4,4,0,0,13,23,1,1,0
19143,"3,K","3,K","3,9","3,9,J",0,0,4,0,3,13,13,0,0,12,22,1,1,0
19144,"A,9","A,9","3,9","3,9",0,0,4,1,1,20,20,0,0,12,12,0,0,0
19145,"8,10","8,10","9,K","9,K",1,0,4,0,8,18,18,0,0,19,19,0,0,1
19146,"5,K","5,K","5,K","5,K,Q",0,0,4,1,5,15,15,0,0,15,25,1,1,0
19147,"7,J","7,J","4,5","4,5,3",0,0,4,0,7,17,17,0,0,9,12,1,0,0
19148,"K,Q","K,Q","10,9","10,9",1,0,4,1,10,20,20,0,0,19,19,0,0,0
19149,"4,J","4,J","K,7","K,7,9",1,0,4,0,4,14,14,0,0,17,26,1,1,0
19150,"Q,A","Q,A","7,Q","7,Q",1,0,4,1,10,21,21,0,0,17,17,0,0,0
19151,"K,10","K,10","J,A","J,A",0,0,4,0,10,20,20,0,0,21,21,0,0,1
19152,"2,8","2,8,Q","5,A","5,A,4",1,0,4,1,2,10,20,1,0,16,20,1,0,0
19153,"7,8","7,8","A,5","A,5,Q,6",0,1,4,1,7,15,15,0,0,16,22,1,1,0
19154,"7,8","7,8,8","A,10","A,10",0,1,4,1,7,15,23,1,1,21,21,0,0,1
19155,"8,K","8,K","8,Q","8,Q",1,0,4,0,8,18,18,0,0,18,18,0,0,0
19156,"7,10","7,10","6,10","6,10",1,0,4,0,7,17,17,0,0,16,16,0,0,0
19157,"5,10","5,10,7","6,A","6,A,5,7",1,0,4,0,5,15,22,1,1,17,19,1,0,1
19158,"5,Q","5,Q,6","2,5","2,5,J,2",0,0,4,1,5,15,21,1,0,7,19,1,0,0
19159,"4,K","4,K,6","K,2","K,2,2",0,0,4,1,4,14,20,1,0,12,14,1,0,0
19160,"Q,10","Q,10","7,9","7,9",1,0,4,1,10,20,20,0,0,16,16,0,0,0
19161,"9,J","9,J","4,Q","4,Q,K",0,0,4,1,9,19,19,0,0,14,24,1,1,0
19162,"2,2","2,2","A,10","A,10",1,0,4,0,2,4,4,0,0,21,21,0,0,1
19163,"2,K","2,K,J","4,K","4,K",0,0,4,1,2,12,22,1,1,14,14,0,0,1
19164,"8,J","8,J","9,A","9,A",1,0,4,1,8,18,18,0,0,20,20,0,0,1
19165,"8,J","8,J","5,3","5,3,K",1,0,4,1,8,18,18,0,0,8,18,1,0,0
19166,"2,9","2,9,10","J,10","J,10",1,0,4,0,2,11,21,1,0,20,20,0,0,0
19167,"7,J","7,J","Q,K","Q,K",1,0,4,0,7,17,17,0,0,20,20,0,0,1
19168,"A,7","A,7","4,7","4,7,3,A,4",1,0,4,1,1,18,18,0,0,11,19,1,0,1
19169,"10,3","10,3,K","9,4","9,4,4,2",0,0,4,1,10,13,23,1,1,13,19,1,0,1
19170,"J,2","J,2,9","3,J","3,J",0,0,4,1,10,12,21,1,0,13,13,0,0,0
19171,"K,9","K,9","5,4","5,4,J",1,0,4,0,10,19,19,0,0,9,19,1,0,0
19172,"3,10","3,10,K","3,J","3,J",0,0,4,1,3,13,23,1,1,13,13,0,0,1
19173,"2,7","2,7","7,Q","7,Q,9",0,0,4,0,2,9,9,0,0,17,26,1,1,0
19174,"A,8","A,8","8,2","8,2,7",0,0,4,1,1,19,19,0,0,10,17,1,0,0
19175,"3,Q","3,Q,A,2,10","5,Q","5,Q,4",0,0,4,1,3,13,26,1,1,15,19,1,0,1
19176,"6,9","6,9,Q","K,8","K,8",0,0,4,0,6,15,25,1,1,18,18,0,0,1
19177,"2,5","2,5,8,J","7,8","7,8",0,0,4,0,2,7,25,1,1,15,15,0,0,1
19178,"10,10","10,10","6,J","6,J,8",0,0,4,0,10,20,20,0,0,16,24,1,1,0
19179,"5,8","5,8","5,6","5,6,5,Q",1,0,4,1,5,13,13,0,0,11,26,1,1,0
19180,"7,4","7,4,5,4","3,10","3,10",1,0,4,1,7,11,20,1,0,13,13,0,0,0
19181,"2,9","2,9","K,A","K,A",0,0,4,1,2,11,11,0,0,21,21,0,0,1
19182,"7,8","7,8","A,K","A,K",1,0,4,0,7,15,15,0,0,21,21,0,0,1
19183,"5,7","5,7","8,7","8,7,2,K",1,0,4,1,5,12,12,0,0,15,27,1,1,0
19184,"8,Q","8,Q","6,A","6,A,10",0,0,4,1,8,18,18,0,0,17,17,0,0,0
19185,"5,6","5,6,Q","8,6","8,6",0,0,4,1,5,11,21,1,0,14,14,0,0,0
19186,"10,8","10,8","J,10","J,10",0,0,4,0,10,18,18,0,0,20,20,0,0,1
19187,"J,7","J,7","J,4","J,4",1,0,4,1,10,17,17,0,0,14,14,0,0,0
19188,"A,4","A,4","9,9","9,9,K",1,0,4,1,1,15,15,0,0,18,28,1,1,0
19189,"3,A","3,A,9,5","7,3","7,3,K",1,0,4,1,3,14,18,1,0,10,20,1,0,1
19190,"8,5","8,5","4,K","4,K,10",0,0,4,1,8,13,13,0,0,14,24,1,1,0
19191,"5,10","5,10,K","2,10","2,10",0,0,4,1,5,15,25,1,1,12,12,0,0,1
19192,"2,8","2,8","A,Q","A,Q",1,0,4,0,2,10,10,0,0,21,21,0,0,1
19193,"9,10","9,10","3,10","3,10",1,0,4,1,9,19,19,0,0,13,13,0,0,0
