,d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks,soft_17,d_open,d_initial,d_final,d_hit,d_bust,p_initial,p_final,p_hit,p_bust,p_win
8738,"10,J","10,J","4,Q","4,Q",0,0,4,1,10,20,20,0,0,14,14,0,0,0
8739,"Q,6","Q,6,A","8,2","8,2,Q",0,0,4,0,10,16,17,1,0,10,20,1,0,1
8740,"2,Q","2,Q,8","10,9","10,9",0,0,4,1,2,12,20,1,0,19,19,0,0,0
8741,"K,8","K,8","5,8","5,8,9",0,0,4,1,10,18,18,0,0,13,22,1,1,0
8742,"A,8","A,8","10,6","10,6,A,5",0,0,4,1,1,19,19,0,0,16,22,1,1,0
8743,"10,5","10,5,10","6,K","6,K",1,0,4,0,10,15,25,1,1,16,16,0,0,1
8744,"A,A","A,A,10","A,4","A,4,8,8",0,0,4,0,1,12,22,1,1,15,21,1,0,1
8745,"9,8","9,8","Q,Q","Q,Q",0,0,4,0,9,17,17,0,0,20,20,0,0,1
8746,"4,6","4,6,7","J,7","J,7",0,0,4,0,4,10,17,1,0,17,17,0,0,0
8747,"J,K","J,K","Q,Q","Q,Q",1,0,4,0,10,20,20,0,0,20,20,0,0,0
8748,"5,Q","5,Q,3","9,3","9,3,7",1,0,4,0,5,15,18,1,0,12,19,1,0,1
8749,"K,7","K,7","9,9","9,9",1,0,4,1,10,17,17,0,0,18,18,0,0,1
8750,"9,8","9,8","K,9","K,9",1,0,4,0,9,17,17,0,0,19,19,0,0,1
8751,"6,10","6,10,A","2,Q","2,Q,A,7",1,0,4,1,6,16,17,1,0,12,20,1,0,1
8752,"A,9","A,9","J,Q","J,Q",1,0,4,0,1,20,20,0,0,20,20,0,0,0
8753,"10,5","10,5,9","5,3","5,3,A",1,0,4,0,10,15,24,1,1,8,19,1,0,1
8754,"2,8","2,8,2,J","K,8","K,8",0,0,4,0,2,10,22,1,1,18,18,0,0,1
8755,"3,7","3,7,4,J","9,A","9,A",0,0,4,0,3,10,24,1,1,20,20,0,0,1
8756,"J,J","J,J","6,3","6,3,7",1,0,4,0,10,20,20,0,0,9,16,1,0,0
8757,"9,J","9,J","J,4","J,4",1,0,4,1,9,19,19,0,0,14,14,0,0,0
8758,"A,6","A,6","4,A","4,A",0,0,4,0,1,17,17,0,0,15,15,0,0,0
8759,"5,K","5,K,6","J,9","J,9",0,0,4,0,5,15,21,1,0,19,19,0,0,0
8760,"J,5","J,5,7","10,4","10,4",0,0,4,1,10,15,22,1,1,14,14,0,0,1
8761,"5,Q","5,Q,J","2,10","2,10,8",1,0,4,0,5,15,25,1,1,12,20,1,0,1
8762,"Q,4","Q,4,A,9","3,J","3,J,4",0,0,4,0,10,14,24,1,1,13,17,1,0,1
8763,"10,10","10,10","8,9","8,9,10",0,0,4,1,10,20,20,0,0,17,27,1,1,0
8764,"10,5","10,5,K","4,7","4,7,3",0,0,4,0,10,15,25,1,1,11,14,1,0,1
8765,"9,A","9,A","Q,8","Q,8",1,0,4,1,9,20,20,0,0,18,18,0,0,0
8766,"5,A","5,A","5,4","5,4,9,6",1,0,4,1,5,16,16,0,0,9,24,1,1,0
8767,"A,A","A,A,4,6","8,A","8,A",0,0,4,1,1,12,22,1,1,19,19,0,0,1
8768,"9,3","9,3,A,K","5,10","5,10",1,0,4,0,9,12,23,1,1,15,15,0,0,1
8769,"K,8","K,8","Q,7","Q,7",0,0,4,0,10,18,18,0,0,17,17,0,0,0
8770,"10,5","10,5,2","7,2","7,2,3",1,0,4,1,10,15,17,1,0,9,12,1,0,0
8771,"2,J","2,J,6","K,10","K,10",0,0,4,0,2,12,18,1,0,20,20,0,0,1
8772,"3,6","3,6,K","7,10","7,10",0,0,4,1,3,9,19,1,0,17,17,0,0,0
8773,"6,9","6,9","K,6","K,6,2,8",1,0,4,1,6,15,15,0,0,16,26,1,1,0
8774,"7,7","7,7,J","8,2","8,2,8",1,0,4,1,7,14,24,1,1,10,18,1,0,1
8775,"6,3","6,3,K","4,2","4,2,5,9",1,0,4,1,6,9,19,1,0,6,20,1,0,1
8776,"3,7","3,7","3,6","3,6,7,8",0,0,4,0,3,10,10,0,0,9,24,1,1,0
